"Count","Edition","Collector Number","Name","Foil"
"1","PLST","M10-37","Undead Slayer",""
"1","PLST","ARB-17","Architects of Will",""
"1","PLST","TOR-42","Llawan, Cephalid Empress",""
"1","PLST","KLD-227","Perpetual Timepiece",""
"1","PLST","CHK-69","Honden of Seeing Winds",""
"1","PLST","GPT-3","Benediction of Moons"
"1","PLST","INV-156","Obliterate"
"1","PLST","DGM-152","Maze's End"
"1","PLST","USG-175","Bedlam"
"1","PLST","PLC-36","Braids, Conjurer Adept"
