"Edition","Collector Number","Name"
"NEO","66","The Modern Age // Vector Glider"
"NEO","77","Saiba Trespassers"
"NEO","149","Kami of Industry"
"NEO","27","Lucky Offering"
"NEO","65","Mobilizer Mech"
"NEO","270","Mech Hangar"
"NEO","210","Tales of Master Seshiro // Seshiro's Living Legacy"
"NEO","143","Gift of Wrath"
"NEO","280","Tranquil Cove"
"NEO","325","Heir of the Ancient Fang"
"NEO","171","Voltage Surge"
"NEO","259","Shrine Steward"
"NEO","18","Imperial Recovery Unit"
"NEO","231","Prodigy's Prototype"
"NEO","109","The Long Reach of Night // Animus of Night's Reach"
"NEO","36","Seven-Tail Mentor"
"NEO","21","Invoke Justice"
"NEO","65","Mobilizer Mech"
"NEO","273","Rugged Highlands"
"NEO","319","Akki Ronin"
"NEO","253","Papercraft Decoy"
"NEO","100","Inkrise Infiltrator"
"NEO","252","Ninja's Kunai"
"NEO","165","Tempered in Solitude"
"NEO","35","Selfless Samurai"
"NEO","4","Befriending the Moths // Imperial Moth"
"NEO","134","Atsushi, the Blazing Sky"
"NEO","77","Saiba Trespassers"
"NEO","73","Prosperous Thief"
"NEO","326","Jukai Trainee"
"NEO","119","Reckoner Shakedown"
"NEO","90","Chainflail Centipede"
"NEO","167","Towashi Songshaper"
"NEO","185","Generous Visitor"
"NEO","223","Invigorating Hot Spring"
"NEO","108","Life of Toshiro Umezawa // Memory of Toshiro"
"NEO","37","Sky-Blessed Samurai"
"NEO","384","Invoke Calamity"
"NEO","248","Iron Apprentice"
"NEO","244","Dramatist's Puppet"
"NEO","174","Bearer of Memory"
"NEO","207","Spinning Wheel Kick"
"NEO","198","Kappa Tech-Wrecker"
"NEO","11","Era of Enlightenment // Hand of Enlightenment"
"NEO","141","Fable of the Mirror-Breaker // Reflection of Kiki-Jiki"
"NEO","169","Unstoppable Ogre"
"NEO","128","Virus Beetle"
"NEO","107","Lethal Exploit"
"NEO","78","Short Circuit"
"NEO","68","Moonfolk Puzzlemaker"
"NEO","243","Containment Construct"
"NEO","45","Anchor to Reality"
"NEO","117","Okiba Reckoner Raid // Nezumi Road Captain"
"NEO","84","Tezzeret, Betrayer of Flesh"
"NEO","149","Kami of Industry"
"NEO","267","Dismal Backwater"
"NEO","313","Seven-Tail Mentor"
"NEO","130","Akki Ember-Keeper"
"NEO","132","Akki War Paint"
"NEO","151","Kindled Fury"
"NEO","5","Blade-Blizzard Kitsune"
